Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,
"3218.0  Regional Population Growth, Australia",,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 August 2013,,,,,,,,,,,,,,,,,,,
"Table 1. Estimated Resident Population, Local Government Areas, New South Wales",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,,,,,,,,,,,,Change,,,,
,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012r,,2007-2012r,,,Area,Population density 2012
LGA code,Local Government Area,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,%,no.,,km2,persons/km2
,,,,,,,,,,,,,,,,,,,
10050,Albury (C),45265,45816,46180,46505,47004,47566,48140,48518,48814,49222,49451,49655,,3.1,1515,,305.9,162.3
10110,Armidale Dumaresq (A),24617,24496,24346,24171,24115,24146,24275,24573,24862,25046,25158,25278,,4.1,1003,,4230.8,6.0
10150,Ashfield (A),40273,40321,40501,40614,40832,41269,41916,42207,42766,43038,43538,43661,,4.2,1745,,8.3,5272.3
10200,Auburn (C),58319,60032,61406,63318,65924,67819,70232,72630,74920,76640,77779,80422,,14.5,10190,,32.5,2476.3
10250,Ballina (A),37856,38417,38870,39120,39305,39537,39824,40020,40295,40571,40747,41006,,3.0,1182,,484.7,84.6
10300,Balranald (A),2751,2703,2661,2596,2545,2507,2473,2433,2404,2381,2353,2343,,-5.3,-130,,21693.1,0.1
10350,Bankstown (C),170942,171393,171975,172208,173282,175789,179352,182679,185770,188185,190851,193398,,7.8,14046,,76.8,2518.2
10470,Bathurst Regional (A),35504,35831,36084,36245,36547,36916,37272,37904,38848,39484,39960,40253,,8.0,2981,,3816.4,10.5
10550,Bega Valley (A),30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33259,,3.3,1076,,6279.0,5.3
10600,Bellingen (A),12634,12673,12705,12672,12682,12716,12773,12787,12837,12891,12923,12819,,0.4,46,,1600.4,8.0
10650,Berrigan (A),8075,8058,8035,8014,8076,8160,8204,8237,8282,8291,8297,8337,,1.6,133,,2065.9,4.0
10750,Blacktown (C),263103,267048,268806,271434,275206,278894,284925,292002,299450,306601,312346,317598,,11.5,32673,,240.1,1322.7
10800,Bland (A),6603,6529,6453,6360,6263,6212,6178,6113,6101,6049,6021,6055,,-2.0,-123,,8557.7,0.7
10850,Blayney (A),6478,6545,6562,6598,6649,6741,6821,6900,7041,7143,7217,7276,,6.7,455,,1524.9,4.8
