lga_name,number_aboriginal_tsi,non_indigenous,not_stated,total,indigenous_total_percentage
 Albury (C) ,1107,44592,2111,47808,2.3
 Armidale Dumaresq (A) ,1511,21248,1336,24105,6.3
 Ashfield (A) ,231,38355,2621,41213,0.6
 Auburn (C) ,448,68302,4988,73738,0.6
 Ballina (A) ,1223,36661,1389,39272,3.1
 Balranald (A) ,154,1977,151,2282,6.7
 Bankstown (C) ,1387,170827,10139,182351,0.8
 Bathurst Regional (A) ,1634,35123,1762,38517,4.2
 Bega Valley (A) ,904,29696,1344,31950,2.8
 Bellingen (A) ,377,11782,356,12515,3.0
 Berrigan (A) ,166,7562,335,8067,2.1
 Blacktown (C) ,8200,280537,12364,301097,2.7
 Bland (A) ,239,5483,142,5862,4.1
 Blayney (A) ,206,6465,312,6985,2.9
 Blue Mountains (C) ,1318,70869,3751,75941,1.7
 Bogan (A) ,419,2290,194,2900,14.4
 Bombala (A) ,48,2290,70,2407,2.0
 Boorowa (A) ,47,2268,81,2399,2.0
 Botany Bay (C) ,615,36433,2311,39354,1.6
 Bourke (A) ,869,1637,368,2867,30.3
 Brewarrina (A) ,1042,622,98,1766,59.0
 Broken Hill (C) ,1393,16021,1097,18519,7.5
 Burwood (A) ,120,30615,1690,32424,0.4
 Byron (A) ,514,27031,1659,29207,1.8
 Cabonne (A) ,398,12071,354,12823,3.1
 Camden (A) ,1115,53587,2012,56719,2.0
 Campbelltown (C) ,4730,134064,7180,145969,3.2
 Canada Bay (A) ,284,70971,4507,75762,0.4
 Canterbury (C) ,796,128098,8554,137453,0.6
 Carrathool (A) ,177,2306,109,2585,6.8
 Central Darling (A) ,758,1142,83,1992,38.1
 Cessnock (C) ,2456,46051,2332,50840,4.8
 Clarence Valley (A) ,2844,44911,1913,49666,5.7
 Cobar (A) ,604,3758,346,4713,12.8
 Coffs Harbour (C) ,2816,62698,2900,68414,4.1
 Conargo (A) ,30,1461,44,1539,1.9
 Coolamon (A) ,107,3800,198,4100,2.6
 Cooma-Monaro (A) ,264,9103,402,9773,2.7
 Coonamble (A) ,1177,2605,244,4031,29.2
 Cootamundra (A) ,282,6703,341,7336,3.8
 Corowa Shire (A) ,141,10455,401,11001,1.3
 Cowra (A) ,795,10695,659,12146,6.5
 Deniliquin (A) ,258,6507,358,7121,3.6
 Dubbo (C) ,4986,32106,1717,38808,12.8
 Dungog (A) ,265,7724,329,8317,3.2
 Eurobodalla (A) ,1815,32032,1897,35739,5.1
 Fairfield (C) ,1323,177896,8548,187766,0.7
 Forbes (A) ,881,7972,317,9169,9.6
 Gilgandra (A) ,533,3608,225,4368,12.2
 Glen Innes Severn (A) ,487,7820,348,8655,5.6
 Gloucester (A) ,227,4494,154,4879,4.7
 Gosford (C) ,3556,151165,7716,162439,2.2
 Goulburn Mulwaree (A) ,779,25619,1079,27480,2.8
 Great Lakes (A) ,1327,31294,1815,34431,3.9
 Greater Hume Shire (A) ,202,9164,452,9817,2.1
 Greater Taree (C) ,2501,41913,2124,46541,5.4
 Griffith (C) ,1002,21856,1507,24363,4.1
 Gundagai (A) ,88,3442,128,3663,2.4
 Gunnedah (A) ,1362,10097,607,12065,11.3
 Guyra (A) ,440,3750,202,4396,10.0
 Gwydir (A) ,191,4643,137,4965,3.8
 Harden (A) ,161,3272,149,3585,4.5
 Hawkesbury (C) ,1609,57814,2935,62353,2.6
 Hay (A) ,170,2649,141,2958,5.7
 Holroyd (C) ,815,92753,5592,99163,0.8
 Hornsby (A) ,564,151830,4458,156848,0.4
 Hunters Hill (A) ,55,12689,472,13216,0.4
 Hurstville (C) ,491,75433,2938,78853,0.6
 Inverell (A) ,1052,14434,594,16077,6.5
 Jerilderie (A) ,47,1376,74,1495,3.1
 Junee (A) ,391,5226,267,5879,6.7
 Kempsey (A) ,3113,23749,1263,28134,11.1
 Kiama (A) ,285,19070,629,19985,1.4
 Kogarah (C) ,226,53374,2204,55805,0.4
 Ku-ring-gai (A) ,147,105332,3817,109299,0.1
 Kyogle (A) ,487,8294,442,9227,5.3
 Lachlan (A) ,1063,5153,254,6477,16.4
 Lake Macquarie (C) ,5595,177239,6170,189005,3.0
 Lane Cove (A) ,77,30260,1174,31510,0.2
 Leeton (A) ,651,9754,631,11039,5.9
 Leichhardt (A) ,513,48814,2864,52197,1.0
 Lismore (C) ,1918,39191,1659,42764,4.5
 Lithgow (C) ,898,18225,1035,20162,4.5
 Liverpool (C) ,2676,166894,10571,180141,1.5
 Liverpool Plains (A) ,817,6358,305,7479,10.9
 Lockhart (A) ,79,2806,114,2996,2.6
 Maitland (C) ,2355,62562,2565,67479,3.5
 Manly (A) ,115,37255,2376,39748,0.3
 Marrickville (A) ,1109,70075,5318,76501,1.4
 Mid-Western Regional (A) ,869,20197,1251,22320,3.9
 Moree Plains (A) ,2790,9609,1023,13428,20.8
 Mosman (A) ,31,25502,1923,27452,0.1
 Murray (A) ,232,6445,285,6957,3.3
 Murrumbidgee (A) ,229,1887,149,2261,10.1
 Muswellbrook (A) ,846,14015,925,15793,5.4
 Nambucca (A) ,1357,16568,714,18643,7.3
 Narrabri (A) ,1388,10914,623,12926,10.7
 Narrandera (A) ,593,4935,377,5900,10.1
 Narromine (A) ,1289,5006,283,6584,19.6
 Newcastle (C) ,3927,138203,6401,148534,2.6
 North Sydney (A) ,134,56946,5216,62290,0.2
 Oberon (A) ,160,4694,190,5041,3.2
 Orange (C) ,2050,34128,1880,38056,5.4
 Palerang (A) ,224,13301,821,14351,1.6
 Parkes (A) ,1211,12559,822,14592,8.3
 Parramatta (C) ,1402,155986,9470,166858,0.8
 Penrith (C) ,5387,165752,7327,178465,3.0
 Pittwater (A) ,250,54568,2328,57154,0.4
 Port Macquarie-Hastings (A) ,2418,67401,2882,72698,3.3
 Port Stephens (A) ,2325,59202,3271,64808,3.6
 Queanbeyan (C) ,1137,35107,1747,37994,3.0
 Randwick (C) ,1844,118078,9069,128987,1.4
 Richmond Valley (A) ,1452,19666,919,22038,6.6
 Rockdale (C) ,576,90991,5779,97339,0.6
 Ryde (C) ,354,98321,4370,103040,0.3
 Shellharbour (C) ,1929,59574,2097,63604,3.0
 Shoalhaven (C) ,4316,83663,4829,92812,4.7
 Singleton (A) ,845,20924,925,22695,3.7
 Snowy River (A) ,74,6498,934,7509,1.0
 Strathfield (A) ,103,32563,2528,35187,0.3
 Sutherland Shire (A) ,1740,201908,7218,210862,0.8
 Sydney (C) ,2175,145613,21715,169506,1.3
 Tamworth Regional (A) ,4722,49009,2565,56291,8.4
 Temora (A) ,102,5475,196,5776,1.8
 Tenterfield (A) ,459,5978,373,6809,6.7
 The Hills Shire (A) ,632,164430,4817,169872,0.4
 Tumbarumba (A) ,83,3121,153,3357,2.5
 Tumut Shire (A) ,493,10020,421,10935,4.5
 Tweed (A) ,2941,78236,3927,85107,3.5
 Upper Hunter Shire (A) ,537,12634,584,13751,3.9
 Upper Lachlan Shire (A) ,120,6775,295,7192,1.7
 Uralla (A) ,353,5434,238,6032,5.9
 Urana (A) ,39,1048,67,1158,3.4
 Wagga Wagga (C) ,2731,54765,1962,59459,4.6
 Wakool (A) ,94,3607,256,3962,2.4
 Walcha (A) ,219,2719,81,3021,7.2
 Walgett (A) ,1812,4157,483,6453,28.1
 Warren (A) ,367,2277,113,2759,13.3
 Warringah (A) ,603,134972,5168,140739,0.4
 Warrumbungle Shire (A) ,886,8143,554,9589,9.2
 Waverley (A) ,242,56439,6803,63485,0.4
 Weddin (A) ,68,3459,135,3665,1.9
 Wellington (A) ,1701,6371,424,8494,20.0
 Wentworth (A) ,681,5601,329,6610,10.3
 Willoughby (C) ,134,64158,3063,67355,0.2
 Wingecarribee (A) ,802,41805,1788,44396,1.8
