lga_id,lga_name,population,score,national_rank,national_decile,national_percentile,state,state_rank,state_decile,state_percentile,
10050,Albury (C),47851,967,290,6,52,NSW,87,6,57,
10110,Armidale Dumaresq (A),24122,985,365,7,65,NSW,103,7,67,
10150,Ashfield (A),41216,1031,472,9,84,NSW,122,8,80,
10200,Auburn (C),73744,944,209,4,37,NSW,62,5,41,
10250,Ballina (A),39263,980,343,7,61,NSW,99,7,65,
10300,Balranald (A),2284,929,133,3,24,NSW,33,3,22,
10350,Bankstown (C),182366,946,217,4,39,NSW,67,5,44,
10470,Bathurst Regional (A),38514,985,367,7,65,NSW,104,7,68,
10550,Bega Valley (A),31951,951,233,5,42,NSW,71,5,47,
10600,Bellingen (A),12524,942,190,4,34,NSW,55,4,36,
10650,Berrigan (A),8067,938,172,4,31,NSW,48,4,32,
10750,Blacktown (C),301125,974,317,6,57,NSW,93,7,61,
10800,Bland (A),5868,959,251,5,45,NSW,77,6,51,
10850,Blayney (A),6980,973,315,6,56,NSW,92,6,60,
10900,Blue Mountains (C),75930,1038,484,9,86,NSW,125,9,82,
10950,Bogan (A),2897,934,158,3,28,NSW,40,3,26,
11000,Bombala (A),2411,936,166,3,30,NSW,45,3,30,
11050,Boorowa (A),2397,954,242,5,43,NSW,74,5,49,
11100,Botany Bay (C),39378,985,368,7,66,NSW,105,7,69,
11150,Bourke (A),2870,934,153,3,28,NSW,37,3,25,
11200,Brewarrina (A),1767,816,36,1,7,NSW,1,1,1,
11250,Broken Hill (C),18521,888,58,2,11,NSW,8,1,6,
11300,Burwood (A),32428,1022,457,9,81,NSW,121,8,79,
11350,Byron (A),29233,979,340,7,61,NSW,98,7,64,
11400,Cabonne (A),12836,993,391,7,70,NSW,111,8,73,
11450,Camden (A),56724,1056,511,10,91,NSW,133,9,87,
11500,Campbelltown (C),145938,943,196,4,35,NSW,58,4,38,
11520,Canada Bay (A),75750,1086,532,10,95,NSW,138,9,90,
11550,Canterbury (C),137406,939,179,4,32,NSW,51,4,34,
11600,Carrathool (A),2580,959,250,5,45,NSW,76,5,50,
11700,Central Darling (A),1989,841,37,1,7,NSW,2,1,2,
11720,Cessnock (C),50818,922,115,3,21,NSW,28,2,19,
11730,Clarence Valley (A),49681,907,76,2,14,NSW,13,1,9,
11750,Cobar (A),4727,944,205,4,37,NSW,60,4,39,
11800,Coffs Harbour (C),68428,950,229,5,41,NSW,70,5,46,
11860,Conargo (A),1535,1039,485,9,86,NSW,126,9,82,
12000,Coolamon (A),4107,960,256,5,46,NSW,80,6,52,
12050,Cooma-Monaro (A),9767,976,327,6,58,NSW,95,7,62,
12150,Coonamble (A),4039,887,54,1,10,NSW,6,1,4,
12200,Cootamundra (A),7344,928,129,3,23,NSW,32,3,21,
