LGA code,Local Government Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,change % (2007-2012),change no.,area,density
30250,Aurukun (S),1074,1109,1100,1110,1098,1089,1164,1252,1315,1365,1398,1394,19.8,230,7347.2,0.2
30300,Balonne (S),5473,5336,5174,5000,4878,4754,4760,4786,4813,4833,4862,4837,1.6,77,31106.2,0.2
30370,Banana (S),15534,15328,15136,14959,14913,15026,14883,14880,14941,14855,14812,14947,0.4,64,28546.3,0.5
30410,Barcaldine (R),3483,3482,3388,3350,3359,3341,3338,3322,3303,3295,3292,3313,-0.7,-25,53520.7,0.1
30450,Barcoo (S),454,437,408,404,381,370,364,371,360,360,363,361,-0.8,-3,61825.0,0.0
30760,Blackall Tambo (R),2385,2327,2218,2164,2126,2063,2076,2124,2171,2216,2257,2289,10.3,213,30389.1,0.1
30900,Boulia (S),566,534,502,477,456,434,428,443,456,485,493,491,14.7,63,60955.8,0.0
31000,Brisbane (C),885787,908289,930535,949935,967989,987831,1010222,1033472,1057692,1073144,1089879,1110473,9.9,100251,1338.1,829.9
31750,Bulloo (S),450,445,429,417,397,380,369,379,390,405,418,414,12.2,45,73762.8,0.0
31820,Bundaberg (R),77430,78571,79559,80991,82876,84816,86486,88599,90335,91400,92063,93348,7.9,6862,6435.6,14.5
31900,Burdekin (S),18158,18038,17846,17636,17536,17451,17568,17653,17776,17786,17775,17914,2.0,346,5043.4,3.6
31950,Burke (S),490,496,501,492,506,512,532,542,543,549,557,555,4.3,23,40039.2,0.0
32070,Cairns (R),125637,127708,130808,133845,137705,142367,147019,152398,157078,160089,162178,165388,12.5,18369,4115.1,40.2
32250,Carpentaria (S),2246,2253,2242,2191,2080,2003,2087,2124,2136,2182,2197,2186,4.7,99,64124.9,0.0
32260,Cassowary Coast (R),29536,29447,29438,29337,29124,28603,28706,28739,28761,28718,28636,28693,0.0,-13,4685.0,6.1
32270,Central Highlands (R),24581,25054,25540,26141,26661,27265,27596,28090,28714,29082,29541,30573,10.8,2977,59834.9,0.5
32310,Charters Towers (R),12007,11962,11939,11872,11783,11729,11915,12096,12239,12316,12434,12431,4.3,516,68373.6,0.2
32330,Cherbourg (S),1186,1191,1197,1192,1188,1182,1190,1206,1222,1245,1264,1255,5.5,65,31.6,39.7
32450,Cloncurry (S),3754,3664,3552,3424,3342,3248,3250,3308,3304,3301,3342,3425,5.4,175,47983.1,0.1
32500,Cook (S),3636,3650,3611,3696,3626,3565,3650,3787,3988,4135,4409,4432,21.4,782,105781.5,0.0
32600,Croydon (S),282,277,274,266,271,264,271,297,307,319,327,325,19.9,54,29487.1,0.0
32750,Diamantina (S),320,313,301,295,294,291,290,295,296,293,292,290,0.0,0,94666.9,0.0
32770,Doomadgee (S),1178,1166,1154,1142,1136,1129,1194,1235,1273,1327,1374,1374,15.1,180,1835.2,0.7
33100,Etheridge (S),997,972,941,897,883,869,902,915,927,923,929,924,2.4,22,39201.0,0.0
33200,Flinders (S),2050,2016,2017,1946,1897,1844,1842,1837,1834,1834,1840,1831,-0.6,-11,41192.7,0.0
33220,Fraser Coast (R),72781,74299,77048,80111,83010,86117,89109,92018,94813,96618,97661,99059,11.2,9950,7102.5,13.9
33360,Gladstone (R),45479,46592,47860,49517,50587,52051,53587,55425,57046,57697,59461,61267,14.3,7680,10465.8,5.9
33430,Gold Coast (C),379679,394631,410545,424005,436671,450075,466940,481569,495835,506135,515202,526173,12.7,59233,1331.7,395.1
33610,Goondiwindi (R),10219,10297,10326,10306,10297,10364,10468,10605,10722,10823,10900,11003,5.1,535,19255.5,0.6
33620,Gympie (R),38062,38549,39389,40469,41682,42628,43634,44700,45774,46366,46837,47548,9.0,3914,6884.5,6.9
33800,Hinchinbrook (S),12172,12046,12004,11851,11814,11810,11822,11826,11829,11808,11817,11769,-0.4,-53,2801.3,4.2
33830,Hope Vale (S),875,867,850,831,824,812,850,897,955,1011,1052,1068,25.6,218,1104.7,1.0
33960,Ipswich (C),123934,126116,128646,132119,137324,141986,148133,154428,161664,167134,172200,177485,19.8,29352,1088.5,163.1
33980,Isaac (R),18169,18590,19050,19231,19785,20372,21018,21632,22237,22658,23188,23678,12.7,2660,58719.8,0.4
34420,Kowanyama (S),999,1012,1016,1030,1048,1063,1075,1079,1088,1103,1112,1108,3.1,33,2543.2,0.4
34570,Lockhart River (S),638,623,607,591,584,578,573,555,554,552,520,527,-8.0,-46,3578.1,0.1
34580,Lockyer Valley (R),28213,28813,29078,29485,30524,31305,32050,32974,34333,35110,35880,36512,13.9,4462,2268.7,16.1
34590,Logan (C),234351,239515,244076,249161,253905,259116,264410,270628,277372,282189,287474,293485,11.0,29075,958.1,306.3
34710,Longreach (R),4537,4545,4447,4379,4284,4174,4174,4193,4219,4250,4296,4288,2.7,114,40571.7,0.1
34770,Mackay (R),89337,91554,93642,96285,99901,103567,106026,108644,111455,113669,115960,119081,12.3,13055,7601.2,15.7
34800,McKinlay (S),1045,1033,993,973,951,922,963,994,1011,1044,1085,1086,12.8,123,40733.7,0.0
34830,Mapoon (S),205,213,224,232,239,247,254,262,271,276,281,285,12.2,31,548.0,0.5
34860,Maranoa (R),12368,12383,12436,12461,12501,12612,12770,12952,13113,13286,13437,13526,5.9,756,58711.4,0.2
35010,Moreton Bay (R),283062,291543,302027,312887,323085,331713,344545,357499,370447,381357,390051,400036,16.1,55491,2033.3,196.7
35250,Mornington (S),991,999,1046,1054,1067,1082,1119,1120,1158,1184,1220,1214,8.5,95,1244.2,1.0
35300,Mount Isa (C),20743,20276,19997,19908,20153,20374,20711,21381,21607,21830,22079,22628,9.3,1917,43188.0,0.5
35600,Murweh (S),4936,4892,4848,4803,4774,4692,4665,4668,4699,4714,4731,4759,2.0,94,40698.5,0.1
35670,Napranum (S),785,799,819,836,856,876,881,890,901,910,908,919,4.3,38,1997.9,0.5
35760,North Burnett (R),10450,10408,10415,10445,10403,10378,10322,10335,10377,10358,10374,10339,0.2,17,19666.8,0.5
35780,Northern Peninsula Area (R),2055,2058,2069,2074,2070,2063,2168,2234,2273,2391,2463,2493,15.0,325,1056.9,2.4
35790,Palm Island (S),2269,2249,2202,2155,2103,2070,2162,2265,2333,2430,2538,2570,18.9,408,70.6,36.4
35800,Paroo (S),2172,2127,2106,2075,2042,1991,1946,1921,1909,1924,1937,1931,-0.8,-15,47616.4,0.0
36070,Pormpuraaw (S),618,622,622,623,623,621,647,662,673,691,715,713,10.2,66,4428.8,0.2
36150,Quilpie (S),1086,1064,1045,1025,1019,1012,994,992,996,1003,1007,997,0.3,3,67423.3,0.0
36250,Redland (C),115832,118870,122994,126010,128654,130760,133596,136771,139859,141552,143711,145507,8.9,11911,536.2,271.3
36300,Richmond (S),1128,1090,1062,1007,975,935,908,895,898,873,847,844,-7.0,-64,26580.2,0.0
36360,Rockhampton (R),96343,97397,98779,100579,101940,103747,105824,107679,109922,111099,112333,115419,9.1,9595,18311.7,6.3
36510,Scenic Rim (R),30030,30715,31930,32749,33560,34231,34983,35578,36525,37167,37437,37826,8.1,2843,4248.1,8.9
36580,Somerset (R),17866,18117,18361,18609,19085,19608,19919,20366,21071,21717,22200,22584,13.4,2665,5373.3,4.2
36630,South Burnett (R),27651,27942,28251,28630,29050,29699,30114,30583,31173,31518,31803,32285,7.2,2171,8381.7,3.9
36660,Southern Downs (R),31064,31361,31593,31729,32010,32411,32933,33451,33976,34313,34649,35023,6.3,2090,7111.7,4.9
36710,Sunshine Coast (R),242427,250665,260994,270326,277803,284736,291904,300400,308362,313823,318279,324266,11.1,32362,3120.7,103.9
36810,Tablelands (R),40019,40437,40809,41052,41414,41981,42748,43622,44280,44725,45117,45463,6.4,2715,64793.8,0.7
36910,Toowoomba (R),134955,136619,138528,140827,143791,145992,147927,150140,152525,154222,155473,157669,6.6,9742,12957.7,12.2
36950,Torres (S),3531,3560,3544,3512,3481,3373,3418,3457,3481,3485,3477,3475,1.7,57,882.7,3.9
36960,Torres Strait Island (R),4244,4314,4387,4400,4485,4548,4577,4606,4609,4600,4578,4576,0.0,-1,489.2,9.4
37010,Townsville (C),142012,145115,147964,151172,155330,159482,163509,168503,173067,176528,180114,184526,12.9,21017,3727.4,49.5
37300,Weipa (T),2131,2241,2367,2507,2721,2902,3133,3246,3303,3337,3423,3600,14.9,467,10.8,332.7
37310,Western Downs (R),28715,28711,28636,28655,28837,29122,29520,30235,30893,31466,32365,32902,11.5,3382,37938.5,0.9
37340,Whitsunday (R),27396,27996,28491,28977,29606,30255,30759,31337,31838,32140,32416,33324,8.3,2565,23804.4,1.4
37400,Winton (S),1585,1567,1543,1473,1454,1423,1403,1372,1371,1359,1380,1373,-2.1,-30,53814.4,0.0
37550,Woorabinda (S),1014,987,966,943,915,886,902,916,934,957,976,979,8.5,77,390.3,2.5
37570,Wujal Wujal (S),366,361,356,347,342,336,325,319,311,297,287,291,-10.5,-34,11.2,26.0
37600,Yarrabah (S),2236,2278,2323,2365,2410,2468,2498,2531,2535,2588,2595,2587,3.6,89,158.8,16.3
,,,,,,,,,,,,,,,,,
