LGA code,Local Government Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,change % (2007-2012),change no.,area,density
50080,Albany (C),31362,31713,32020,32237,32726,33171,33310,33704,34164,34518,34873,35387,6.2,2077,4309.9,8.2
50210,Armadale (C),52391,52204,52049,52041,51795,52299,53735,55809,58508,61858,65395,69260,28.9,15525,559.9,123.7
50250,Ashburton (S),5969,6138,6467,6925,7263,7608,7939,8480,9004,9510,10227,10565,33.1,2626,100959.3,0.1
50280,Augusta-Margaret River (S),10228,10346,10639,10791,10936,11052,11195,11522,11766,11951,12228,12603,12.6,1408,2122.4,5.9
50350,Bassendean (T),14055,14165,14030,13996,13943,13896,14099,14358,14626,14897,15179,15545,10.3,1446,10.3,1502.7
50420,Bayswater (C),56954,56947,57023,57033,56895,58195,59484,61139,62708,63886,65342,67316,13.2,7832,32.8,2054.2
50490,Belmont (C),29919,30273,30358,30749,30966,31560,32742,33970,35204,36101,37358,38597,17.9,5855,39.7,972.6
50560,Beverley (S),1579,1586,1618,1625,1631,1646,1649,1634,1643,1619,1604,1611,-2.3,-38,2370.5,0.7
50630,Boddington (S),1437,1408,1373,1382,1434,1427,1576,1747,1910,2138,2247,2318,47.1,742,1899.4,1.2
50770,Boyup Brook (S),1649,1654,1622,1578,1572,1563,1564,1570,1591,1592,1617,1639,4.8,75,2826.5,0.6
50840,Bridgetown-Greenbushes (S),4205,4262,4175,4073,4134,4134,4149,4199,4286,4337,4421,4517,8.9,368,1339.4,3.4
50910,Brookton (S),1048,1034,1040,1028,1038,1037,1022,1014,1007,995,969,993,-2.8,-29,1601.2,0.6
50980,Broome (S),13249,13606,13837,14045,14219,14326,14577,14924,15172,15416,15737,16228,11.3,1651,54631.8,0.3
51080,Broomehill-Tambellup (S),1260,1245,1237,1222,1204,1208,1183,1175,1198,1177,1178,1187,0.3,4,2609.1,0.5
51120,Bruce Rock (S),1132,1100,1097,1055,1040,1004,978,982,988,991,1002,976,-0.2,-2,2724.7,0.4
51190,Bunbury (C),30616,30483,30382,30611,31035,31450,31152,31473,31993,32257,32580,33237,6.7,2085,65.2,509.5
51260,Busselton (C),23192,23843,24265,24581,25996,26711,27197,28393,29596,30664,31523,32857,20.8,5660,1454.0,22.6
51310,Cambridge (T),24501,24602,24660,24548,24706,25007,25305,25718,26093,26320,26730,27244,7.7,1939,22.0,1238.7
51330,Canning (C),77474,78496,79186,79843,80261,80933,83123,85135,87242,88746,90736,93383,12.3,10260,64.9,1438.9
51400,Capel (S),7136,7562,8005,8902,9733,10666,11330,12256,13274,14192,15059,15549,37.2,4219,557.8,27.9
51470,Carnamah (S),807,791,797,790,791,792,743,703,641,604,554,553,-25.6,-190,2873.0,0.2
51540,Carnarvon (S),6751,6689,6571,6304,6160,6051,5943,5967,5972,5997,6076,6095,2.6,152,46562.2,0.1
51610,Chapman Valley (S),880,874,891,914,924,943,989,1086,1141,1160,1198,1212,22.5,223,3982.6,0.3
51680,Chittering (S),2948,3060,3138,3328,3541,3669,3818,3968,4209,4394,4533,4703,23.2,885,1219.9,3.9
51750,Claremont (T),9166,9220,9247,9267,9349,9393,9463,9571,9716,9783,9924,10180,7.6,717,5.0,2054.2
51820,Cockburn (C),69359,70968,72207,73929,75741,77832,81453,84909,88935,91628,95036,98990,21.5,17537,167.9,589.4
51890,Collie (S),9109,9173,9206,9107,9076,9012,8972,8997,9122,9218,9343,9465,5.5,493,1710.0,5.5
51960,Coolgardie (S),4284,4240,4221,4052,4023,4005,3977,4011,4047,4080,4138,4264,7.2,287,30353.9,0.1
52030,Coorow (S),1381,1378,1389,1366,1301,1259,1189,1157,1146,1126,1091,1088,-8.5,-101,4188.8,0.3
52100,Corrigin (S),1302,1292,1264,1217,1204,1200,1176,1165,1146,1126,1104,1104,-6.1,-72,2680.6,0.4
52170,Cottesloe (T),7428,7487,7523,7595,7581,7652,7733,7884,8059,8106,8236,8402,8.7,669,3.9,2178.8
52240,Cranbrook (S),1072,1084,1102,1115,1125,1132,1111,1094,1113,1089,1110,1120,0.8,9,3277.5,0.3
52310,Cuballing (S),725,727,754,769,804,817,830,836,851,873,891,899,8.3,69,1194.9,0.8
52380,Cue (S),396,396,376,373,352,342,320,307,303,287,279,283,-11.6,-37,13584.9,0.0
52450,Cunderdin (S),1457,1426,1406,1344,1322,1317,1295,1295,1297,1322,1347,1345,3.9,50,1862.4,0.7
52520,Dalwallinu (S),1889,1814,1705,1588,1520,1441,1363,1340,1330,1333,1303,1310,-3.9,-53,7227.2,0.2
52590,Dandaragan (S),2952,2946,2949,2967,2964,3018,3052,3104,3203,3268,3292,3348,9.7,296,6711.5,0.5
52660,Dardanup (S),8991,9220,9415,9640,10219,10837,11147,11648,12144,12531,12852,13250,18.9,2103,525.9,25.2
52730,Denmark (S),4734,4790,4837,4796,4798,4797,4858,4987,5153,5248,5373,5539,14.0,681,1859.9,3.0
52800,Derby-West Kimberley (S),8501,8422,7801,7821,7882,8095,8267,8521,8698,8826,8966,9278,12.2,1011,119841.8,0.1
52870,Donnybrook-Balingup (S),4710,4691,4660,4680,4731,4951,4981,5095,5245,5349,5462,5585,12.1,604,1560.0,3.6
52940,Dowerin (S),840,806,771,760,746,736,709,718,725,698,700,699,-1.4,-10,1863.1,0.4
53010,Dumbleyung (S),753,738,716,702,691,677,651,649,637,626,626,620,-4.8,-31,2541.3,0.2
53080,Dundas (S),1262,1240,1223,1182,1155,1127,1119,1149,1162,1160,1184,1194,6.7,75,92587.2,0.0
53150,East Fremantle (T),6787,6907,6971,6984,6985,7074,7098,7154,7244,7270,7443,7579,6.8,481,3.1,2414.8
53220,East Pilbara (S),5650,5909,6171,6563,6998,7667,8510,9651,10753,11522,12257,12581,47.8,4071,371244.0,0.0
53290,Esperance (S),13369,13443,13569,13669,13694,13644,13585,13603,13721,13799,13879,14099,3.8,514,45038.8,0.3
53360,Exmouth (S),2315,2277,2282,2266,2233,2205,2217,2255,2317,2364,2458,2549,15.0,332,6488.1,0.4
53430,Fremantle (C),25769,26099,26100,26101,26108,26124,26648,27148,27607,27957,28651,29555,10.9,2907,19.0,1554.7
53570,Gingin (S),4274,4381,4461,4504,4534,4577,4574,4646,4768,4786,4822,4994,9.2,420,3208.4,1.6
53640,Gnowangerup (S),1585,1554,1523,1478,1456,1432,1395,1371,1358,1333,1307,1307,-6.3,-88,4265.6,0.3
53710,Goomalling (S),970,967,965,967,961,973,970,981,1005,1019,1017,1016,4.7,46,1835.4,0.6
53780,Gosnells (C),83662,85337,87585,90120,92600,94958,98035,101907,105782,109250,112435,116548,18.9,18513,127.2,916.3
53800,Greater Geraldton (C),34019,34288,34348,34454,35021,35736,35812,36731,37512,37860,38340,39311,9.8,3499,9889.1,4.0
53920,Halls Creek (S),3766,3796,3793,3748,3747,3762,3794,3845,3867,3874,3893,3964,4.5,170,133061.4,0.0
53990,Harvey (S),18526,18450,18351,18754,19565,20450,20913,21819,22624,23230,23878,24879,19.0,3966,1727.9,14.4
54060,Irwin (S),3071,2976,2943,2957,3143,3218,3281,3403,3509,3569,3672,3703,12.9,422,2372.0,1.6
54130,Jerramungup (S),1249,1247,1237,1231,1248,1186,1148,1121,1107,1101,1091,1088,-5.2,-60,6507.5,0.2
54170,Joondalup (C),156410,156820,157067,157218,156453,156570,157225,158175,159156,160053,162205,164737,4.8,7512,98.9,1665.2
54200,Kalamunda (S),48743,49063,49419,49909,51052,51423,52560,53540,54487,55572,56492,58155,10.6,5595,324.2,179.4
54280,Kalgoorlie/Boulder (C),29771,29737,30052,29939,29855,30086,30250,30910,31474,31750,32208,33140,9.6,2890,95151.5,0.3
54340,Katanning (S),4501,4492,4460,4412,4404,4404,4366,4315,4293,4285,4290,4343,-0.5,-23,1518.3,2.9
54410,Kellerberrin (S),1221,1211,1212,1206,1215,1230,1213,1200,1209,1207,1211,1224,0.9,11,1915.6,0.6
