LGA code,Local Government Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,change % (2007-2012),change no.,area,density
20110,Alpine (S),12709,12655,12581,12432,12372,12260,12227,12156,12112,12089,12068,12138,-0.7,-89,4788.2,2.5
20260,Ararat (RC),11544,11566,11536,11510,11452,11422,11363,11344,11332,11337,11326,11355,-0.1,-8,4211.4,2.7
20570,Ballarat (C),82333,83168,84190,84775,85663,86647,87796,89531,91390,93359,95185,96972,10.5,9176,739.0,131.2
20660,Banyule (C),117967,117559,117313,116661,117149,117963,119362,120580,122248,122780,122983,123544,3.5,4182,62.5,1975.4
20740,Bass Coast (S),25243,25809,26224,26476,26894,26941,27408,27981,28561,29474,30233,30592,11.6,3184,864.8,35.4
20830,Baw Baw (S),35850,35990,36283,36643,37079,37814,38503,39389,40516,42097,43389,44366,15.2,5863,4031.3,11.0
20910,Bayside (C),88262,88717,89088,89394,89873,90807,92041,93535,94850,95594,96119,96824,5.2,4783,37.2,2602.0
21010,Benalla (RC),13886,13897,13878,13846,13829,13807,13802,13792,13796,13838,13818,13729,-0.5,-73,2352.6,5.8
21110,Boroondara (C),156246,156886,157298,157885,158727,159605,161308,163408,165284,166326,167062,168293,4.3,6985,60.2,2796.5
21180,Brimbank (C),167213,168499,169424,170953,172749,174231,177004,180561,185397,188895,191496,193665,9.4,16661,123.4,1569.4
21270,Buloke (S),7220,7171,7102,7026,6995,6957,6861,6789,6751,6622,6465,6364,-7.2,-497,8000.4,0.8
21370,Campaspe (S),36011,36247,36457,36549,36779,36969,37020,37017,37021,36973,36855,36954,-0.2,-66,4518.9,8.2
21450,Cardinia (S),46720,47840,50038,52864,55173,57950,60368,63647,67889,71830,75831,80084,32.7,19716,1281.7,62.5
21610,Casey (C),180444,188914,198652,206646,213821,220440,228496,237529,246678,254471,261282,267892,17.2,39396,409.4,654.3
21670,Central Goldfields (S),12888,12835,12732,12566,12493,12434,12471,12531,12587,12600,12579,12582,0.9,111,1532.8,8.2
21750,Colac-Otway (S),20686,20689,20697,20689,20684,20614,20687,20782,20844,20855,20799,20735,0.2,48,3437.5,6.0
21830,Corangamite (S),17293,17232,17027,16962,16867,16815,16718,16636,16623,16563,16526,16387,-2.0,-331,4407.6,3.7
21890,Darebin (C),127067,127359,127711,128735,130298,132299,134748,137525,140289,141780,142942,144086,6.9,9338,53.5,2694.7
22110,East Gippsland (S),38843,39112,39329,39776,40173,40544,40969,41416,41904,42385,42826,43154,5.3,2185,20939.9,2.1
22170,Frankston (C),113306,114262,115483,117124,118530,120148,122182,124689,127252,129052,130350,131542,7.7,9360,129.6,1015.0
22250,Gannawarra (S),11873,11783,11661,11540,11455,11413,11207,11052,10923,10692,10453,10394,-7.3,-813,3735.3,2.8
22310,Glen Eira (C),122346,123197,123816,125037,126485,128474,130524,132900,135414,136515,137152,138810,6.3,8286,38.7,3587.6
