LGA code,Local Government Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,change % (2007-2012),change no.,area,density
60210,Break O`Day (M),5839,5884,5978,6084,6191,6274,6308,6352,6401,6446,6469,6449,2.2,141,3525.8,1.8
60410,Brighton (M),12857,12947,13141,13556,13946,14236,14508,14832,15192,15562,15685,15813,9.0,1305,171.3,92.3
60610,Burnie (C),19077,19090,19305,19485,19547,19748,19812,19887,20005,20073,20164,20148,1.7,336,611.0,33.0
60810,Central Coast (M),21242,21119,21213,21275,21174,21428,21640,21942,22179,22291,22332,22365,3.4,725,933.1,24.0
61010,Central Highlands (M),2339,2330,2372,2321,2345,2327,2338,2348,2357,2353,2357,2369,1.3,31,7982.4,0.3
61210,Circular Head (M),8128,8105,8219,8254,8286,8243,8291,8343,8374,8368,8361,8291,0.0,0,4897.7,1.7
61410,Clarence (C),49370,49289,49509,49766,50014,50344,50630,51107,51765,52396,52825,53081,4.8,2451,378.0,140.4
61510,Derwent Valley (M),9372,9346,9400,9421,9540,9636,9705,9798,9861,9895,9946,9956,2.6,251,4108.1,2.4
61610,Devonport (C),24502,24347,24653,24940,25050,24901,25024,25336,25658,25712,25752,25727,2.8,703,111.3,231.2
61810,Dorset (M),7413,7367,7327,7292,7272,7244,7227,7203,7202,7177,7158,7152,-1.0,-75,3227.6,2.2
62010,Flinders (M),896,889,887,891,897,896,881,867,849,839,809,807,-8.4,-74,1996.6,0.4
62210,George Town (M),6557,6603,6713,6760,6755,6755,6762,6779,6829,6872,6857,6789,0.4,27,653.4,10.4
62410,Glamorgan/Spring Bay (M),4029,4027,4105,4217,4347,4371,4412,4458,4463,4449,4419,4432,0.5,20,2591.3,1.7
62610,Glenorchy (C),43805,43729,44038,44119,43850,43844,44179,44542,44947,45244,45402,45382,2.7,1203,121.1,374.6
62810,Hobart (C),47232,47409,48036,48535,48890,48989,49203,49491,49917,50291,50482,50342,2.3,1139,77.9,646.1
63010,Huon Valley (M),13987,14051,14071,14272,14394,14530,14814,15083,15392,15680,15905,16020,8.1,1206,5507.4,2.9
63210,Kentish (M),5555,5560,5641,5743,5861,5965,6031,6143,6301,6364,6369,6367,5.6,336,1156.0,5.5
63410,King Island (M),1741,1730,1741,1720,1715,1716,1704,1690,1672,1656,1637,1599,-6.2,-105,1095.8,1.5
63610,Kingborough (M),29285,29433,30050,30571,31020,31404,31938,32656,33431,34124,34693,35090,9.9,3152,720.1,48.7
63810,Latrobe (M),8324,8391,8516,8677,8759,8973,9162,9402,9694,10063,10275,10524,14.9,1362,600.5,17.5
64010,Launceston (C),62966,63113,63695,64264,64715,64802,65311,65936,66452,66864,67154,67146,2.8,1835,1413.6,47.5
64210,Meander Valley (M),18248,18348,18558,18803,18889,19052,19190,19342,19477,19588,19622,19633,2.3,443,3330.3,5.9
64610,Northern Midlands (M),12047,12109,12209,12324,12422,12561,12568,12593,12638,12675,12729,12741,1.4,173,5136.5,2.5
64810,Sorell (M),10955,11031,11181,11408,11738,12049,12294,12624,12934,13170,13346,13407,9.1,1113,583.7,23.0
65010,Southern Midlands (M),5788,5809,5834,5867,5850,5864,5914,6009,6141,6246,6265,6306,6.6,392,2615.4,2.4
65210,Tasman (M),2282,2282,2238,2273,2279,2326,2332,2352,2400,2432,2443,2440,4.6,108,660.5,3.7
65410,Waratah/Wynyard (M),13765,13726,13693,13794,13757,13895,14002,14180,14295,14312,14304,14298,2.1,296,3531.0,4.0
65610,West Coast (M),5572,5459,5342,5292,5245,5229,5157,5151,5107,5058,4890,4792,-7.1,-365,9589.8,0.5
65810,West Tamar (M),20495,20629,20869,21254,21454,21700,21925,22122,22420,22647,22833,22867,4.3,942,691.1,33.1
,,,,,,,,,,,,,,,,,
